City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,faya-largeau,17.9257,19.1043,41.15,16,0,2.86,TD,1686586694
153,kodiak,57.79,-152.4072,8.73,66,0,4.12,US,1686586642
154,sidhi,24.4167,81.8833,37.23,23,61,1.81,IN,1686586335
155,am timan,11.0297,20.2827,24.25,90,88,4.83,TD,1686586694
156,padang,-0.9492,100.3543,27.03,90,54,2.05,ID,1686586178
157,west island,-12.1568,96.8225,26.99,83,75,9.73,CC,1686586639
158,dauphin,51.1494,-100.0502,25.08,41,0,5.14,CA,1686586325
159,praia da vitoria,38.7333,-27.0667,21.14,94,75,7.03,PT,1686586695
160,genhe,50.7833,121.5167,14.99,78,73,0.66,CN,1686586695
161,georgetown,5.4112,100.3354,30.53,78,20,3.6,MY,1686586573
162,kyren,51.6828,102.1408,14.55,96,100,1.95,RU,1686586695
163,antonio enes,-16.2325,39.9086,23.3,76,1,2.83,MZ,1686586695
164,inverell,-29.7833,151.1167,6.17,89,13,0.45,AU,1686586695
165,catemaco,18.4167,-95.1167,32.52,52,26,0.47,MX,1686586695
166,puerto baquerizo moreno,-0.9,-89.6,25.55,94,75,5.66,EC,1686586638
167,raduzhny,62.0961,77.475,3.07,94,100,7.23,RU,1686586695
168,mirnyy,62.5353,113.9611,6.8,56,0,0.89,RU,1686586695
169,constantia,44.1833,28.65,22.61,64,70,6.57,RO,1686586641
170,kapuskasing,49.4169,-82.4331,17.05,59,100,2.06,CA,1686586667
171,masuguru,-11.3667,38.4167,25.14,39,9,1.11,TZ,1686586695
172,banda aceh,5.5577,95.3222,27.15,81,13,4.87,ID,1686586695
173,nadym,65.5333,72.5167,4.5,77,100,8.88,RU,1686586646
174,hilo,19.7297,-155.09,24.6,98,100,1.34,US,1686586561
175,egilsstadir,65.2653,-14.3948,15.95,44,0,9.26,IS,1686586653
176,jizzax,40.1158,67.8422,27.49,35,98,3.99,UZ,1686586696
177,ola,59.5833,151.2833,5.73,97,100,2.79,RU,1686586696
178,komusan il-tong,42.1092,129.7,13.56,94,99,1.27,KP,1686586696
179,forster,-32.1667,152.5167,9.1,99,59,2.69,AU,1686586696
180,hasaki,35.7333,140.8333,20.68,96,90,4.08,JP,1686586696
181,mili,6.0815,171.735,28.35,79,100,8.52,MH,1686586524
182,mitu,1.1983,-70.1733,31.93,51,57,1.42,CO,1686586664
183,richards bay,-28.783,32.0377,21.75,64,80,8.19,ZA,1686586641
184,kattivakkam,13.2167,80.3167,32.26,78,94,7.54,IN,1686586696
185,malango,-2.9627,119.9001,19.3,98,91,0.64,ID,1686586696
186,badger,64.8,-147.5333,13.93,58,40,5.14,US,1686586648
187,carahue,-38.7,-73.1667,8.16,69,12,1.24,CL,1686586591
188,narvik,68.4384,17.4272,11.32,80,100,2.22,NO,1686586697
189,lockwood,45.8191,-108.4149,20.35,72,40,1.54,US,1686586557
190,qaqortoq,60.7167,-46.0333,9.04,56,96,2.88,GL,1686586644
191,fortuna,40.5982,-124.1573,12.59,93,100,1.54,US,1686586665
192,east london,-33.0153,27.9116,14.52,77,0,7.2,ZA,1686586256
193,yaren,-0.5472,166.916,28.28,76,92,3.7,NR,1686586697
194,mayya,61.7333,130.2811,6.62,55,100,4.66,RU,1686586697
195,bubanza,-3.1167,29.4,23.11,75,61,0.68,BI,1686586697
196,kerouane,9.2667,-9.0167,26.44,82,99,2.05,GN,1686586697
197,magistral'nyy,56.1725,107.4458,9.21,68,73,3.81,RU,1686586697
198,aral,40.5156,81.2636,31.6,17,67,13.44,CN,1686586697
199,tazovsky,67.4667,78.7,1.58,98,100,5.49,RU,1686586641
200,tazacorte,28.629,-17.9293,22.54,78,75,3.6,ES,1686586659
201,port-cartier,50.0334,-66.8654,24.12,48,14,2.12,CA,1686586698
202,anadyr,64.75,177.4833,7.28,75,20,2.0,RU,1686586639
203,puerto ayora,-0.7393,-90.3518,30.98,90,100,3.58,EC,1686586636
204,christchurch,-43.5333,172.6333,5.53,94,20,1.03,NZ,1686586277
205,yatou,37.15,122.3833,16.59,82,11,1.62,CN,1686586698
206,san antonio de pale,-1.4014,5.6325,24.89,86,100,2.99,GQ,1686586665
207,nar'yan-mar,67.6713,53.087,15.34,54,100,5.79,RU,1686586698
208,port alfred,-33.5906,26.891,15.1,68,48,3.13,ZA,1686586642
209,nemuro,43.3236,145.575,10.93,99,93,3.27,JP,1686586698
210,balqash,46.8481,74.995,24.1,27,77,7.89,KZ,1686586698
211,buala,-8.145,159.5921,26.55,85,54,1.43,SB,1686586699
212,la ronge,55.1001,-105.2842,23.14,46,100,3.09,CA,1686586660
